"ID","City","State",,,,,"States - Other"
"[10153] =",,"All over India",,,,,"Andaman Nicobar Islands - Other"
"[1093] =","Abhanpur","Chhattisgarh - Other",,,,,"Andhra Pradesh - Other"
"[1094] =","Achalpur","Maharashtra - Other",,,,,"Arunachal Pradesh - Other"
"[714] =","Adilabad","Andhra Pradesh - Other",,,,,"Assam - Other"
"[1095] =","Adirampattinam","Tamil Nadu - Other",,,,,"Bihar - Other"
"[1096] =","Adyal","Maharashtra - Other",,,,,"Chhattisgarh - Other"
"[1097] =","Afzalpur","Karnataka - Other",,,,,"Goa - Other"
"[10216] =","Agra New","Uttar Pradesh - Other",,,,,"Gujarat - Other"
"[1098] =","Agraharam","Andhra Pradesh - Other",,,,,"Haryana - Other"
"[841] =","Aheri","Maharashtra - Other",,,,,"Himachal Pradesh - Other"
"[1099] =","Ainapur","Maharashtra - Other",,,,,"Jammu & Kashmir - Other"
"[32] =","Aizawal","Mizoram - Other",,,,,"Jharkhand - Other"
"[832] =","Ajara","Maharashtra - Other",,,,,"Karnataka - Other"
"[1101] =","Ajjampur","Karnataka - Other",,,,,"Kerala - Other"
"[1102] =","Akaltara","Chhattisgarh - Other",,,,,"Lakshadweep - Other"
"[1103] =","Akbarpur","Uttar Pradesh - Other",,,,,"Madhya Pradesh - Other"
"[800] =","Akki","Karnataka - Other",,,,,"Maharashtra - Other"
"[1104] =","Akluj","Maharashtra - Other",,,,,"Manipur - Other"
"[1105] =","Akot","Maharashtra - Other",,,,,"Meghalaya - Other"
"[1106] =","Akurdi","Maharashtra - Other",,,,,"Mizoram - Other"
"[1107] =","Alakiamanavalam","Tamil Nadu - Other",,,,,"Nagaland - Other"
"[795] =","Aland","Karnataka - Other",,,,,"Orissa - Other"
"[786] =","Alappuzha","Kerala - Other",,,,,"Punjab - Other"
"[1108] =","Algapur","Assam - Other",,,,,"Rajasthan - Other"
"[1109] =","Allapalli","Maharashtra - Other",,,,,"Tamil Nadu - Other"
"[1110] =","Almel","Karnataka - Other",,,,,"Tripura - Other"
"[903] =","Almora","Uttarakhand - Other",,,,,"Uttar Pradesh - Other"
"[1111] =","Alnavar","Karnataka - Other",,,,,"Uttarakhand - Other"
"[1112] =","Altinho","Goa - Other",,,,,"Uttaranchal - Other"
